CORR.,Brand,Model.Number,BrandModel,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
1615,Bentley,Bentayga W12 Speed 2021,BENTLEYBENTAYGA W12 SPEED 2021,245000,https://www.ccarprice.com/products/Bentley_Bentayga_W12_Speed_2021.jpg,6.0-liter Twin-Turbo W12 Gas,SUV,Petrol,Automatic,626,6,664,12,all,14,24,5,4,68,201.8,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,
1616,Bentley,Continental W12 Coupe 2021,BENTLEYCONTINENTAL W12 COUPE 2021,218980,https://www.ccarprice.com/products/Bentley_Continental-_W12_Coupe_2021.jpg,6.0-liter Twin-Turbo W12 Gas,Coupe,Petrol,Automatic,626,6,664,12,all,12,20,4,2,55.3,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,
1617,Bentley,Continental V8 Coupe 2021,BENTLEYCONTINENTAL V8 COUPE 2021,202600,https://www.ccarprice.com/products/Bentley-Continental-V8-Coupe-2020.jpg,4.0-liter Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,542,4,568,8,all,16,26,4,2,55.3,190.9,76.9,112.2,NA,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,
1618,Bentley,Bentayga V8 2021,BENTLEYBENTAYGA V8 2021,177000,https://www.ccarprice.com/products/Bentley-Bentayga-V8-2021.jpg,4.0-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542,4,568,8,all,15,24,5,4,68,201.8,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,,,,
1619,Bentley,Flying Spur W12 2021,BENTLEYFLYING SPUR W12 2021,216700,https://www.ccarprice.com/products/Bentley-Flying-Spur-W12-2021.jpg,6.0-liter Twin-Turbo W12 Gas,Sedan,Petrol,Automatic,626,6,664,12,all,12,19,5,4,58.4,209.3,77.9,125.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,
1620,Bentley,Continental V8 Convertible 2021,BENTLEYCONTINENTAL V8 CONVERTIBLE 2021,222700,https://www.ccarprice.com/products/Bentley_Continental_V8_Convertible_2021.jpg,4.0-liter Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,542,4,568,8,all,16,26,4,2,55.1,190.9,76.9,112.2,NA,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1621,Bentley,Continental W12 2021,BENTLEYCONTINENTAL W12 2021,218900,https://www.ccarprice.com/products/Bentley_Continental_W12_2021.gif,6.0-liter Twin-Turbo W12 Gas,Coupe,Petrol,Automatic,626,6,664,12,all,12,20,4,2,55.3,190.9,76.9,112.2,NA,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1622,Bentley,Continental V8 2021,BENTLEYCONTINENTAL V8 2021,202500,https://www.ccarprice.com/products/Bentley-Continental-V8-2021.gif,4.0-liter Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,542,4,568,8,all,16,26,4,2,55.3,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,
1623,Bentley,Continental GT W12 First Edition 2020,BENTLEYCONTINENTAL GT W12 FIRST EDITION 2020,266660,https://www.ccarprice.com/products/Bentley-Continental-GT-W12-First-Edition-2020.jpg,6.0-liter Twin-Turbo W12 Gas,Coupe,Petrol,Automatic,626,6,664,12,all,NA,NA,4,2,55.3,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1624,Bentley,Flying Spur First Edition,BENTLEYFLYING SPUR FIRST EDITION,259330,https://www.ccarprice.com/products/Bentley-Flying-Spur-First-Edition-2020.jpg,6.0-liter Twin-Turbo W12 Gas,Sedan,Petrol,Automatic,626,6,664,12,all,12,20,5,4,58.4,209.3,77.9,125.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,Yes,,Yes,,,,,
1625,Bentley,Continental GT W12,BENTLEYCONTINENTAL GT W12,218900,https://www.ccarprice.com/products/Bentley-Continental-GT-W12-2020.jpg,6.0-liter Twin-Turbo W12 Gas,Coupe,Petrol,Automatic,626,6,664,NA,all,NA,NA,4,2,55.3,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1626,Bentley,Bentayga V12,BENTLEYBENTAYGA V12,235700,https://www.ccarprice.com/products/Bentley-Bentayga-V12-2020.jpg,6.0-liter Twin-Turbo W12 Gas,SUV,Petrol,Automatic,600,6,664,NA,all,12,17,5,4,68.6,202.4,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1627,Bentley,Bentayga V8 2021,BENTLEYBENTAYGA V8 2021,177000,https://www.ccarprice.com/products/Bentley-Bentayga-2021.jpg,4.0-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542,4,568,8,all,14,23,5,4,68,201.8,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,,,,
1628,Bentley,Bacalar Mulliner 2021,BENTLEYBACALAR MULLINER 2021,1900000,https://www.ccarprice.com/products/Bentley-Mulliner-Bacalar-2021.jpg,6.0-liter Twin-Turbo W12 Gas,Convertible,Petrol,Automatic,650,6,667,12,all,14,24,2,2,68,203,78,117,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,,,,
1629,Bentley,Mulsanne Speed 2020,BENTLEYMULSANNE SPEED 2020,342300,https://www.ccarprice.com/products/Bentley-Mulsanne-Speed-2020.jpg,6.8-liter Twin-Turbo V8 Flex-fuel (FFV),Sedan,Petrol,Automatic,537,6.8,537,8,rear,10,16,5,4,59.9,219.5,75.8,128.6,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,,,
1630,Bentley,Mulsanne 2020,BENTLEYMULSANNE 2020,310800,https://www.ccarprice.com/products/Bentley-Mulsanne-2020.jpg,6.8L V-8 Engine,Sedan,Petrol,Automatic,512,6.8,752,8,rear,10,16,5,4,NA,223,79,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,,Yes,,
1631,Bentley,Continental GT V8 Convertible 2020,BENTLEYCONTINENTAL GT V8 CONVERTIBLE 2020,222700,https://www.ccarprice.com/products/Bentley-Continental-GT-V8-Convertible-2020.jpg,4.0-liter Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,542,4,568,8,all,16,26,4,2,55.1,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1632,Bentley,Bentayga V8 2020,BENTLEYBENTAYGA V8 2020,165000,https://www.ccarprice.com/products/Bentley-Bentayga-V8-2020.jpg,4.0-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542,4,568,NA,all,14,23,5,4,68.6,202.4,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,Yes,,,,,
1633,Bentley,Continental GT V8 First Edition 2020,BENTLEYCONTINENTAL GT V8 FIRST EDITION 2020,250260,https://www.ccarprice.com/products/Bentley-Continental-GT-V8-Coupe-1st-Edition-2020.jpg,4.0-liter Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,542,4,568,8,all,NA,NA,4,2,55.3,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,,,,,
1634,Bentley,Continental GT V8 Coupe 2020,BENTLEYCONTINENTAL GT V8 COUPE 2020,201220,https://www.ccarprice.com/products/Bentley_Continental_GT_V8_Coupe_2020.jpg,4.0-liter Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,542,4,568,NA,all,NA,NA,4,2,55.3,190.9,76.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1635,Bentley,Bentayga V8 Design Series 2020,BENTLEYBENTAYGA V8 DESIGN SERIES 2020,203200,https://www.ccarprice.com/products/Bentley-Bentayga-V8-Design-Series-2020.jpg,4.0-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542,4,568,NA,all,14,23,5,4,68.6,202.4,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1636,Bentley,Bentayga Speed 2020,BENTLEYBENTAYGA SPEED 2020,275500,https://www.ccarprice.com/products/Bentley-Bentayga-Speed-2020.jpg,6.0-liter Twin-Turbo W12 Gas,SUV,Petrol,Automatic,626,6,664,NA,all,12,17,5,4,68.6,202.4,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1637,Bentley,Bentayga Hybrid 2020,BENTLEYBENTAYGA HYBRID 2020,160000,https://www.ccarprice.com/products/Bentley-Bentayga-Hybrid-2020.jpg,3.0-liter Turbo V6 Hybrid,SUV,Hybrid,Automatic,443,3,516,NA,all,NA,NA,5,4,70,206,80,120,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,,,
1638,Bentley,Bentayga 2020,BENTLEYBENTAYGA 2020,168300,https://www.ccarprice.com/products/Bentley-Bentayga-2020.jpg,"V8 4,0 l",SUV,Petrol,Manual,542,NA,568,8,all,14,23,5,4,70,206,80,120,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,
1639,Bentley,Bentayga Speed 2021,BENTLEYBENTAYGA SPEED 2021,240000,https://www.ccarprice.com/products/Bentley_Bentayga_Speed_2021.jpg,6.0-liter Twin-Turbo W12 Gas,SUV,Petrol,Automatic,626,6,664,8,all,14,24,5,4,68,201.8,78.7,117.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,
1640,Bentley,Flying Spur 2020,BENTLEYFLYING SPUR 2020,214600,https://www.ccarprice.com/products/Bentley-Flying_Spur-2020-.jpg,6.0-liter Twin-Turbo W12 Gas,Sedan,Petrol,Automatic,626,6,664,12,all,12,20,5,4,58.4,209.3,77.9,125.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
1641,Bentley,Bentayga Mulliner,BENTLEYBENTAYGA MULLINER,298000,https://www.ccarprice.com/products/Bentley-Bentayga-Mulliner-2019.png,"W12 6,0 l",SUV,Petrol,Automatic,600,NA,664,12,all,12,19,4,4,70,206,80,120,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,
1642,Bentley,Bentayga V8,BENTLEYBENTAYGA V8,165000,https://www.ccarprice.com/products/Bentley-Bentayga-V8-2019.png,"V8 4,0 l",SUV,Petrol,Automatic,542,NA,568,8,all,13,23,5,4,70,206,80,120,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,
1643,Bentley,Bentayga,BENTLEYBENTAYGA,241900,https://www.ccarprice.com/products/Bentley-Bentayga-2019.png,"W12 6,0 l",SUV,Petrol,Automatic,600,NA,664,12,all,12,19,5,4,70,206,80,120,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,,No
1644,Rolls Royce,Spectre EV 2024,ROLLS ROYCESPECTRE EV 2024,413000,https://www.ccarprice.com/products/RollsRoyce_Spectre_EV_2024.jpg,Electric,Coupe,Electric,Automatic,577,NA,664,NA,,0,0,4,2,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1645,Rolls Royce,Spectre 2023,ROLLS ROYCESPECTRE 2023,4.00E+05,https://www.ccarprice.com/products/RollsRoyce_Spectre_2023.jpg,Electric,Coupe,Electric,Automatic,577,NA,664,NA,,0,0,4,2,NA,NA,NA,126.4,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1646,Rolls Royce,Cullinan Black Badge 2023,ROLLS ROYCECULLINAN BLACK BADGE 2023,340350,https://www.ccarprice.com/products/Rolls_Royce_Cullinan_Black_Badge_2023.jpg,6.7L Twin-Turbo V12 Gas,SUV,Petrol,Automatic,563,6.7,627,NA,all,12,20,5,4,72.3,210,85,130,4.1,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1647,Rolls Royce,Wraith Coupe 2022,ROLLS ROYCEWRAITH COUPE 2022,635000,https://www.ccarprice.com/products/Rolls_Royce_Wraith_Coupe_2022.jpg,6.6L twin-turbocharged V12,Coupe,Petrol,Automatic,624,6.6,605,12,front,12,18,4,2,59.3,208.1,76.7,122.5,4.6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,
1648,Rolls Royce,Ghost V12 2022,ROLLS ROYCEGHOST V12 2022,343000,https://www.ccarprice.com/products/Rolls_Royce_Ghost_V12_2022.jpg,6.75-liter Twin-Turbo V12 Gas,Sedan,Petrol,Automatic,563,6.7,605,12,rear,12,19,5,4,61,212.6,76.7,129.7,4.6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,
1649,Rolls Royce,Phantom Extended 2022,ROLLS ROYCEPHANTOM EXTENDED 2022,545000,https://www.ccarprice.com/products/RollsRoyce_Phantom_Extended_2022.jpg,6.7L Twin-Turbo V12 Gas,Sedan,Petrol,Automatic,563,6.7,664,12,rear,12,20,5,4,66,231,81,142,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1650,Rolls Royce,Ghost Extended 2022,ROLLS ROYCEGHOST EXTENDED 2022,388000,https://www.ccarprice.com/products/Rolls_Royce_Ghost_Extended_2022_1.jpg,6.7L Twin-Turbo V12 Gas,Sedan,Petrol,Automatic,563,6.7,627,12,all,0,0,5,2,61,219.2,76.7,136.4,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1651,Rolls Royce,Ghost Black Badge 2022,ROLLS ROYCEGHOST BLACK BADGE 2022,506025,https://www.ccarprice.com/products/Rolls_Royce_Ghost_Black_Badge_2022.jpg,6.75-liter Twin-Turbo V12 Gas,Sedan,Petrol,Automatic,563,6.7,605,12,rear,12,19,5,4,61,212.6,76.7,129.7,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,
1652,Rolls Royce,Spectre 2024,ROLLS ROYCESPECTRE 2024,413000,https://www.ccarprice.com/products/RollsRoyce_Spectre_2024_2.jpg,Electric,Sedan,Electric,Automatic,577,NA,664,NA,,0,0,4,2,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1653,Rolls Royce,Phantom 2022,ROLLS ROYCEPHANTOM 2022,465000,https://www.ccarprice.com/products/Rolls-Royce_Phantom_2022.jpg,6.8L Twin-Turbo V12 Gas,Sedan,Petrol,Automatic,563,6.8,664,12,rear,12,20,5,4,66,231,81,142,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
1654,Rolls Royce,Ghost 2022,ROLLS ROYCEGHOST 2022,340500,https://www.ccarprice.com/products/RollsRoyce_Ghost_2021.jpg,6.75-liter Twin-Turbo V12 Gas,Sedan,Petrol,Automatic,563,6.7,605,12,rear,12,19,5,4,61,212.6,76.7,129.7,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,
1655,Rolls Royce,Dawn 2022,ROLLS ROYCEDAWN 2022,428050,https://www.ccarprice.com/products/Rolls_Royce_Dawn_2022.jpg,6.6L Twin-Turbo V12 Gas,Convertible,Petrol,Automatic,563,6.6,605,12,rear,12,18,4,2,59.1,208.5,76.7,122.5,NA,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,
1656,Rolls Royce,Cullinan 2022,ROLLS ROYCECULLINAN 2022,350000,https://www.ccarprice.com/products/Rolls_Royce_Cullinan_2022.jpg,6.8L Twin-Turbo V12 Gas,SUV,Petrol,Automatic,563,6.8,627,NA,all,12,20,5,4,72.3,210,85,130,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,
